Sprint,Module,Feature,Feature Description,Status,Testing Status,Priority,Code Status,Remarks
Sprint 9,Storefront,Home,"Hero, featured, deals",Done,Verified (build + lint),High,Done,"MaxShop-themed homepage: hero BannerCarousel (admin banners), HotDeals with live countdown, 2 category showcase blocks, LeftSidebar, dynamic category nav; sections honor admin homepageSections toggles (showBanners/showDeals/showCategories)"
Sprint 9,Storefront,Storefront config,Storefront reads live admin customization,Done,Verified (curl + build + lint),High,Done,"StorefrontConfigProvider fetches GET /settings/public; applyTheme injects admin primary color into --accent AND the red MaxShop tokens (--danger/--maxshop-red) so Theme&Colors actually recolors the shop; CategoryContext fetches GET /categories?tree=true"
Sprint 9,Storefront,Catalog,Category product listing,Done,Verified (curl + build + lint),High,Done,"CatalogPage: responsive product grid, skeleton loading (no spinners), on-sale compare-at price, pagination; 8 fashion products seeded"
Sprint 9,Storefront,Search + filters,"Search, filter, sort",Done,Verified (curl + build + lint),High,Done,"AllProductsPage: full-height category tree (parent selects category+descendants via ?category=id1,id2 $in) + WHITE-LABEL facet rail — price range, brand (w/ counts), in-stock, on-sale, and every admin 'filterable' attribute (Material/Fit/Gender...) as checkbox facets, + sort (price/newest/name). Facets from GET /storefront/facets (admin-driven, category-scoped). Header search -> /products?q=. Home has no category UI"
Sprint 9,Storefront,Product detail page,"PDP: gallery, variants, reviews, add-to-cart",Done,Verified (curl + build + lint),Critical,Done,"ProductDetailPage: image gallery + thumbnails, Size/Color option selectors resolving the matching variant (price/stock/image), stock hint, Add to cart + Buy now; reviews still pending"
Sprint 9,Storefront,Cart page,Storefront cart view,Done,Verified (build + lint),High,Done,"CartProvider (Context + localStorage, line key = product+variant); CartPage: qty steppers, remove, per-line + subtotal totals, header cart badge"
Sprint 9,Storefront,Checkout flow,Storefront checkout UI,Done,Verified (curl + build + lint),Critical,Done,"Rebuilt clean (rounded-md, NO shadows, reusable Field/TextInput + AddressPicker/AddressForm): 3-step contact + saved-address-select/add + COD, sticky order summary, placeholders + autocomplete on all fields. Self-heals stale cart ids by re-resolving each line via slug (drops removed items with a toast). Cart + OrderConfirmation rebuilt clean; confirmation shows OrderTimeline (+ refetch for signed-in on refresh). Nav groups My Account + My Cart. Server recomputes all prices"
Sprint 9,Storefront,Account,Profile + addresses,Done,Verified (curl + build + lint),High,Done,"Public customer auth (role=Customer): POST /storefront/auth/register+login+refresh+logout+me (separate sf_refresh cookie so admin/customer sessions don't clash on localhost); reuses AuthService.issue/login/refresh + JWT. AccountPage tabs Profile + Addresses (User.addresses[] CRUD, default handling) + Orders. Storefront AuthContext + ProtectedRoute + login/register pages + header account menu; checkout prefills from the signed-in customer"
Sprint 9,Storefront,Order history & invoices,Customer orders + invoices,In Progress,Verified (curl + build + lint),High,In Progress,"My Orders tab: expandable orders with OrderTimeline (fulfilment progress + event history) + line items/totals. GET /storefront/account/orders(+/:orderNumber). Invoice PDF still pending (see Sprint 7 Invoice)"
Sprint 9,Storefront,Wishlist page,Wishlist UI,Not Started,Not Started,Medium,Not Started,
Sprint 9,Storefront,Notifications,In-app customer notifications,Not Started,Not Started,Low,Not Started,
Sprint 9,Storefront,Responsive & SEO,"SSR-friendly, meta tags, performance",Not Started,Not Started,High,Not Started,
Sprint 10,Reviews,Ratings & review,Rating + text + images,Not Started,Not Started,High,Not Started,
Sprint 10,Reviews,Verified purchase,Verified-purchase badge,Not Started,Not Started,Medium,Not Started,
Sprint 10,Reviews,Helpful & report,Helpful votes + report review,Not Started,Not Started,Low,Not Started,
Sprint 10,Reviews,Moderation,Approve/hide reviews,Not Started,Not Started,Medium,Not Started,
Sprint 10,Reviews,Reply,Admin/vendor reply to review,Not Started,Not Started,Low,Not Started,
Sprint 10,CMS,Pages,CRUD content pages (TipTap),Not Started,Not Started,Medium,Not Started,
Sprint 10,CMS,Banners,Hero/home/category banners,Done,Verified (curl + build + lint),Medium,Done,"Admin Storefront Customization > Banners tab: CRUD hero slides (image upload, badge/title/subtitle/CTA, enable/disable, reorder). Persisted in BusinessSettings.banners (order field fixed) + rendered by storefront BannerCarousel"
Sprint 10,CMS,Blogs,Blog posts,Not Started,Not Started,Low,Not Started,
Sprint 10,CMS,Static pages,"FAQ, terms, privacy, contact",Not Started,Not Started,Low,Not Started,
Sprint 10,Marketing,Flash sale,Time-boxed sale campaign,Not Started,Not Started,Medium,Not Started,
Sprint 10,Marketing,Deals,Deals of the day,Not Started,Not Started,Low,Not Started,
Sprint 10,Marketing,Gift cards,Gift card issue/redeem,Not Started,Not Started,Medium,Not Started,
Sprint 10,Marketing,Referral,Referral program,Not Started,Not Started,Low,Not Started,
Sprint 10,Marketing,Newsletter,Subscribe + email campaign,Not Started,Not Started,Low,Not Started,Email sync now
Sprint 10,Marketing,Push / popup,Push notifications + popups,Not Started,Not Started,Low,Not Started,
Sprint 11,Reports,Sales & revenue reports,Time-series sales/revenue,Not Started,Not Started,Medium,Not Started,
Sprint 11,Reports,Inventory & product reports,Stock + product performance,Not Started,Not Started,Medium,Not Started,
Sprint 11,Reports,Customer/coupon/tax/profit,Additional report types,Not Started,Not Started,Low,Not Started,
Sprint 11,Reports,Exports,CSV/Excel/PDF export,Not Started,Not Started,Medium,Not Started,
Sprint 11,Settings,Store settings,Store profile,Done,Verified (curl + build + lint),Medium,Done,"Delivered via Business Settings (row 44) + Storefront Customization (Identity tab): store name/legal name/tagline/logo/favicon/footer/contact/address"
Sprint 11,Settings,Currency/tax/shipping,Commerce config,Not Started,Not Started,Medium,Not Started,
Sprint 11,Settings,Email/SMS,Provider configuration,Not Started,Not Started,Low,Not Started,
Sprint 11,Settings,Theme,Light/dark + branding,Done,Verified (build + lint),Low,Done,"Admin Storefront Customization: Theme (color presets incl. MaxShop Red, primary/accent, button style/radius, font), Identity (store name/logo/favicon/footer/social), Sections (homepage visibility toggles). Storefront applies theme + identity live via /settings/public"
Sprint 11,Settings,Payment config,Gateway keys,Not Started,Not Started,Medium,Not Started,
Sprint 11,Notifications,In-app feed,Notification center,Not Started,Not Started,Medium,Not Started,
Sprint 11,Notifications,Email,Transactional email,Not Started,Not Started,Medium,Not Started,Sync now; BullMQ later
Sprint 11,Notifications,SMS,SMS provider,Not Started,Not Started,Low,Not Started,
Sprint 11,Notifications,Push,Web push,Not Started,Not Started,Low,Not Started,
Sprint 11,Search,Full-text search,MongoDB Atlas Search,Not Started,Not Started,High,Not Started,
Sprint 11,Search,Autocomplete,Search suggestions,Not Started,Not Started,Medium,Not Started,
Sprint 11,Search,Recent/popular,Recent + popular searches,Not Started,Not Started,Low,Not Started,
Sprint 12,Security,Helmet,Secure HTTP headers,Done,Verified (curl + build),High,Done,"Delivered early (Sprint 2 hardening, see row 48): helmet with strict CSP (default-src none), HSTS, nosniff"
Sprint 12,Security,Rate limiting,@nestjs/throttler (in-memory),Done,Verified (curl + build),High,Done,"Delivered early — global ThrottlerGuard 120/min + login/forgot 5/min (429 on 6th); Redis-backed store later"
Sprint 12,Security,Validation,DTO/Zod on all writes,Done,Verified (curl + build + lint),Critical,Done,"Global ValidationPipe (whitelist + transform) in main.ts; every write endpoint has a class-validator DTO; @ecommerce/shared Zod schemas + PASSWORD_REGEX shared FE/BE"
Sprint 12,Security,XSS/CSRF/CORS,Injection + cross-origin protection,In Progress,Verified (curl + build),High,In Progress,"CORS multi-origin allow-list (CLIENT_ORIGIN, credentials enabled for admin+storefront cookies); helmet CSP (default-src none) covers XSS headers; ValidationPipe whitelist strips unknown fields; Mongoose parameterizes queries; refresh cookies httpOnly + sameSite lax + Bearer API (low CSRF surface). Dedicated input-sanitization sweep still pending"
Sprint 12,Security,Audit logs,Sensitive mutation audit trail,Done,Verified (curl + build),Medium,Done,"Global AuditInterceptor records successes AND failures: actor(id/name/email/role), resource+id, status, success, errorMessage, durationMs, real client IP (trust-proxy + XFF, ::ffff/::1 tidied), scrubbed input+result; GET /audit + page gated by audit.read; hash-chain pending"
Sprint 12,Security,Activity logs,User activity logging,Not Started,Not Started,Low,Not Started,
Sprint 12,File Management,Upload,Multer to Cloudinary/S3,In Progress,Verified (curl),High,In Progress,"Local disk upload shipped early — POST /uploads/image (Multer diskStorage, 5MB, image-only) served at /uploads; driver (local/s3) chosen in Business Settings; S3 upload -> 501 until wired"
Sprint 12,File Management,Image pipeline,"Compress, crop, resize",Not Started,Not Started,Medium,Not Started,
Sprint 12,File Management,Folders/versions,Media library management,Not Started,Not Started,Low,Not Started,
Sprint 12,Admin Bulk,Bulk edit/delete,Batch operations,Not Started,Not Started,Medium,Not Started,
Sprint 12,Admin Bulk,CSV import,Import products/customers,Not Started,Not Started,Medium,Not Started,
Sprint 12,Admin Bulk,Export,CSV/Excel/PDF export,Not Started,Not Started,Medium,Not Started,
Sprint 12,Analytics,Revenue/orders analytics,Aggregation pipelines,Not Started,Not Started,Medium,Not Started,
Sprint 12,Analytics,Visitors/conversion,Traffic + conversion,Not Started,Not Started,Low,Not Started,
Sprint 12,Analytics,Retention/cohorts,Cohort + retention analysis,Not Started,Not Started,Low,Not Started,
Sprint 12,Logging,API logs,Winston request logging,Not Started,Not Started,Medium,Not Started,
Sprint 12,Logging,Login/audit/system logs,Structured logs,Not Started,Not Started,Medium,Not Started,
Sprint 13,Performance,Pagination,Offset pagination on all lists,Done,Verified (curl + build + lint),High,Done,"Delivered early (see rows 10/12): BaseService.paginate + PaginationQueryDto (page/pageSize/search/sort); server-driven across users/products/categories/brands/vendors/orders/inventory/warehouses + shared <Pagination>"
Sprint 13,Performance,Lazy load / infinite scroll,Storefront list performance,Not Started,Not Started,Medium,Not Started,
Sprint 13,Performance,Caching (Redis),Introduce Redis cache,Not Started,Not Started,Medium,Not Started,Redis enabled here
Sprint 13,Performance,Queues (BullMQ),Move jobs to BullMQ,Not Started,Not Started,Medium,Not Started,BullMQ enabled here
Sprint 13,Performance,Image optimization / CDN,CDN + optimized images,Not Started,Not Started,Medium,Not Started,
Sprint 13,Production,Dockerize,Frontend + backend images,Not Started,Not Started,High,Not Started,
Sprint 13,Production,Nginx,Reverse proxy + SSL,Not Started,Not Started,High,Not Started,
Sprint 13,Production,PM2,Process manager on VPS,Not Started,Not Started,Medium,Not Started,
Sprint 13,Production,CI/CD deploy,GitHub Actions build+push+deploy,Not Started,Not Started,High,Not Started,
Sprint 13,Production,Monitoring,Uptime + error monitoring,Not Started,Not Started,Medium,Not Started,
Sprint 13,Production,Cloudflare,"DNS, CDN, WAF, SSL",Not Started,Not Started,Medium,Not Started,
Sprint 14,AI,Description generator,AI product description generation,Not Started,Not Started,Medium,Not Started,Optional; Claude
Sprint 14,AI,SEO generator,AI meta title/description,Not Started,Not Started,Medium,Not Started,
Sprint 14,AI,Alt-text generator,AI image alt text (batch),Not Started,Not Started,Low,Not Started,
Sprint 14,AI,Review summarizer,Summarize product reviews,Not Started,Not Started,Low,Not Started,
Sprint 14,AI,Shopping assistant (RAG),Chat over catalog with vector search,Not Started,Not Started,Medium,Not Started,Atlas Vector Search
Sprint 14,AI,Recommendations,Embedding-based product recs,Not Started,Not Started,Medium,Not Started,
Sprint 14,AI,Support chatbot,Order-aware support agent (tool-use),Not Started,Not Started,Low,Not Started,
Sprint 14,AI,Sales insights,AI narration of dashboard metrics,Not Started,Not Started,Low,Not Started,
Sprint 14,AI,Inventory forecasting,Demand prediction + restock suggestions,Not Started,Not Started,Low,Not Started,
